Customer ID,Recency,Frequency,Monetary,AvgOrderValue,TotalQuantity,ProductDiversity,CustomerLifetimeDays,PurchaseFrequencyRate,AvgQuantityPerOrder,Cluster,Churn
12347.0,2,8,4921.53,615.19125,2967,126,402,0.019851116625310174,370.875,1,0
12348.0,75,5,2019.4,403.88,2714,25,362,0.013774104683195593,542.8,0,0
12349.0,19,4,4428.69,1107.1725,1624,138,570,0.0070052539404553416,406.0,1,0
12350.0,310,1,334.4,334.4,197,17,0,1.0,197.0,2,1
12351.0,375,1,300.93,300.93,261,21,0,1.0,261.0,2,1
12352.0,36,10,2849.84,284.98400000000004,724,70,356,0.028011204481792718,72.4,1,0
12353.0,204,2,406.76,203.38,212,23,204,0.00975609756097561,106.0,0,1
12354.0,232,1,1079.4,1079.4,530,58,0,1.0,530.0,0,0
12355.0,214,2,947.61,473.805,543,35,353,0.005649717514124294,271.5,0,0
12358.0,2,5,3887.07,777.414,1079,56,730,0.006839945280437756,215.8,1,0
12360.0,52,8,4252.89,531.61125,2459,160,603,0.013245033112582781,307.375,1,0
12361.0,287,4,511.25,127.8125,235,18,394,0.010126582278481013,58.75,0,0
12363.0,110,2,552.0,276.0,408,23,132,0.015037593984962405,204.0,0,0
12364.0,8,4,1313.1,328.275,1506,70,104,0.0380952380952381,376.5,0,0
12365.0,291,2,641.38,320.69,174,22,0,2.0,87.0,2,0
12366.0,634,1,500.24,500.24,296,3,0,1.0,296.0,2,0
12367.0,4,1,168.9,168.9,173,11,0,1.0,173.0,0,0
12368.0,628,1,917.6999999999999,917.6999999999999,330,18,0,1.0,330.0,2,0
12369.0,413,3,1791.15,597.0500000000001,1241,90,228,0.013100436681222707,413.6666666666667,2,0
12370.0,51,7,4316.56,616.6514285714286,2604,168,617,0.011326860841423949,372.0,1,0
12371.0,45,5,4067.38,813.476,1436,134,600,0.008319467554076539,287.2,1,0
12372.0,72,3,1298.04,432.68,794,34,224,0.013333333333333334,264.6666666666667,0,0
12373.0,311,3,1127.65,375.8833333333334,516,36,362,0.008264462809917356,172.0,2,0
12374.0,25,4,2989.2200000000003,747.3050000000001,1362,79,563,0.0070921985815602835,340.5,1,0
12375.0,11,2,457.5,228.75,178,14,87,0.022727272727272728,89.0,0,0
12376.0,390,2,503.15,251.575,240,11,28,0.06896551724137931,120.0,2,0
12377.0,315,4,3426.32,856.58,2105,129,274,0.014545454545454545,526.25,1,0
12379.0,82,4,1620.22,405.055,815,58,452,0.008830022075055188,203.75,0,0
12381.0,5,5,1845.31,369.062,808,70,115,0.04310344827586207,161.6,0,0
12383.0,185,5,1850.56,370.11199999999997,1532,84,167,0.02976190476190476,306.4,0,0
12384.0,29,2,585.27,292.635,126,26,92,0.021505376344086023,63.0,0,0
12385.0,379,1,1938.4,1938.4,612,65,0,1.0,612.0,2,0
12386.0,338,2,401.9,200.95,354,10,29,0.06666666666666667,177.0,2,1
12387.0,415,1,143.94,143.94,134,9,0,1.0,134.0,2,1
12388.0,16,8,3901.11,487.63875,2001,83,566,0.014109347442680775,250.125,1,0
12389.0,403,3,1433.33,477.77666666666664,614,41,253,0.011811023622047244,204.66666666666666,2,0
12390.0,80,1,549.84,549.84,353,32,0,1.0,353.0,0,0
12391.0,22,6,2724.84,454.14000000000004,1204,241,641,0.009345794392523364,200.66666666666666,1,0
12392.0,591,1,234.75000000000003,234.75000000000003,73,7,0,1.0,73.0,2,1
12393.0,72,6,2399.4500000000003,399.90833333333336,1311,63,356,0.01680672268907563,218.5,1,0
12394.0,64,2,1272.48,636.24,819,26,153,0.012987012987012988,409.5,0,0
12395.0,19,15,4721.17,314.74466666666666,3205,145,583,0.025684931506849314,213.66666666666666,1,0
12396.0,674,1,931.43,931.43,591,65,0,1.0,591.0,2,0
12397.0,36,2,2409.9,1204.95,1263,110,99,0.02,631.5,0,0
12398.0,46,1,1635.6599999999999,1635.6599999999999,1394,85,0,1.0,1394.0,0,0
12399.0,119,7,1962.3,280.3285714285714,2198,67,525,0.013307984790874524,314.0,1,0
12400.0,414,1,205.25,205.25,91,11,0,1.0,91.0,2,1
12401.0,303,1,84.3,84.3,11,5,0,1.0,11.0,2,1
12402.0,323,6,1256.9,209.48333333333335,584,43,347,0.017241379310344827,97.33333333333333,0,0
12403.0,50,2,1019.36,509.68,260,5,471,0.00423728813559322,130.0,0,0
12404.0,682,1,63.24,63.24,1,1,0,1.0,1.0,2,1
12405.0,149,1,1710.39,1710.39,857,54,0,1.0,857.0,0,0
12407.0,50,5,1708.1200000000001,341.624,1416,57,214,0.023255813953488372,283.2,0,0
12408.0,33,8,4340.7699999999995,542.5962499999999,2229,104,465,0.017167381974248927,278.625,1,0
12410.0,309,3,1013.71,337.90333333333336,341,36,193,0.015463917525773196,113.66666666666667,2,0
12411.0,410,1,346.9,346.9,138,22,0,1.0,138.0,2,1
12412.0,75,6,2596.93,432.82166666666666,1997,82,464,0.012903225806451613,332.8333333333333,1,0
12413.0,67,4,999.45,249.8625,319,41,335,0.011904761904761904,79.75,0,0
12414.0,217,6,952.41,158.73499999999999,495,21,246,0.024291497975708502,82.5,0,0
12416.0,657,1,202.56,202.56,132,11,0,1.0,132.0,2,1
12418.0,113,4,2021.2,505.3,1088,90,517,0.007722007722007722,272.0,0,0
12419.0,386,2,503.01,251.505,231,23,27,0.07142857142857142,115.5,2,0
12420.0,64,1,600.39,600.39,345,29,0,1.0,345.0,0,0
12421.0,16,6,1098.6,183.1,652,44,489,0.012244897959183673,108.66666666666667,0,0
12423.0,1,10,2622.39,262.239,1793,128,465,0.02145922746781116,179.3,1,0
12424.0,163,4,3340.03,835.0075,2025,78,385,0.010362694300518135,506.25,1,0
12425.0,78,2,1741.41,870.705,1147,87,370,0.005390835579514825,573.5,0,0
12426.0,195,2,1345.21,672.605,584,73,468,0.0042643923240938165,292.0,0,0
12427.0,22,3,825.8,275.26666666666665,533,26,349,0.008571428571428572,177.66666666666666,0,0
12430.0,43,1,256.4,256.4,117,11,0,1.0,117.0,0,0
12432.0,43,5,5059.32,1011.8639999999999,1801,107,129,0.038461538461538464,360.2,1,0
12434.0,85,3,1103.43,367.81,532,62,296,0.010101010101010102,177.33333333333334,0,0
12436.0,100,1,509.01,509.01,211,16,0,1.0,211.0,0,0
12438.0,14,2,2906.85,1453.425,1180,84,125,0.015873015873015872,590.0,0,0
12439.0,683,2,1142.88,571.44,478,69,43,0.045454545454545456,239.0,2,0
12440.0,462,2,859.2,429.6,331,21,255,0.0078125,165.5,2,0
12441.0,367,1,173.55,173.55,121,11,0,1.0,121.0,2,1
12442.0,3,1,172.06,172.06,182,12,0,1.0,182.0,0,0
12443.0,732,1,485.31,485.31,182,21,0,1.0,182.0,2,1
12444.0,21,5,5005.46,1001.092,1155,138,149,0.03333333333333333,231.0,1,0
12445.0,22,2,434.98,217.49,206,24,398,0.005012531328320802,103.0,0,0
12446.0,58,1,1002.3100000000001,1002.3100000000001,352,58,0,1.0,352.0,0,0
12447.0,243,1,476.49,476.49,190,26,0,1.0,190.0,0,1
12448.0,44,1,449.45,449.45,243,22,0,1.0,243.0,0,0
12449.0,22,6,4835.89,805.9816666666667,2282,125,416,0.014388489208633094,380.3333333333333,1,0
12450.0,156,5,688.2,137.64000000000001,442,31,318,0.01567398119122257,88.4,0,0
12452.0,17,2,430.57,215.285,185,21,0,2.0,92.5,0,0
12453.0,134,1,707.09,707.09,473,43,0,1.0,473.0,0,0
12456.0,44,3,3181.04,1060.3466666666666,1633,105,210,0.014218009478672985,544.3333333333334,1,0
12457.0,66,8,2995.91,374.48875,1095,63,368,0.02168021680216802,136.875,1,0
12458.0,71,4,1777.49,444.3725,986,71,416,0.009592326139088728,246.5,0,0
12459.0,605,1,454.36,454.36,258,23,0,1.0,258.0,2,1
12460.0,456,1,326.65,326.65,170,18,0,1.0,170.0,2,1
12461.0,94,2,826.88,413.44,287,35,60,0.03278688524590164,143.5,0,0
12462.0,19,2,1189.59,594.795,536,51,284,0.007017543859649123,268.0,0,0
12463.0,53,4,1344.78,336.195,776,65,188,0.021164021164021163,194.0,0,0
12464.0,10,8,1212.05,151.50625,112,6,299,0.02666666666666667,14.0,0,0
12465.0,17,2,742.1899999999999,371.09499999999997,479,46,152,0.013071895424836602,239.5,0,0
12466.0,682,1,56.73,56.73,1,1,0,1.0,1.0,2,1
12467.0,423,1,132.8,132.8,129,9,0,1.0,129.0,2,1
